song_title,artist_names,artist_ids,song_id
funk carioca_150bpm,"['Dell Soda', 'Mc 2g', 'Mc Rd']","['51RqGPS6kqZreeq12MkFjF', '4R8Zd0NkGCccv2oH4YFxWj', '6IXthfQn6odzgbQrxNamZF']",070HJ9XvrQPhiozE03LDYg
Stuck In Reverse,['Old Nobody'],['0hjYHJuO5sEeq1FO6G8TjY'],073yvwOSPR366lP9WdecNB
心愛的再會啦,['Wu Bai'],['5H8TJITZE1sPjVR2ACzXNS'],07BLMnpZYg6RT0H1elobry
Lemonade (Made Popular By Internet Money & Gunna ft. Don Toliver & NAV) [Instrumental Version],['Party Tyme Karaoke'],['3JoDcjZtpq0ccldFgYmeAB'],07DWePXPq40sjWvbaH2MnI
Viva la Figa (inno dell'Amore),['Betobahia'],['57hmlCW9x1oXJ86d7ZAewl'],07GdKqlNR0DSbys3UhVe3S
Yaariyan,['K Saaz'],['1SB6qmZugVHizlIs4OtF5e'],07JyqYM8Bd2MFlB1FpYyOM
Zé da manga Funk,['Mc Souza'],['1rXWQkRMKVJhZOsKI2Xcjq'],07K8m8zc1DHNengLWXv6Gh
Better Days,['Purrple Cat'],['73aKnLT4O8G2pBEfdlQzrE'],07OPi6PhHR6mkLP4UDqVtV
Disposable Entertainment,['Tobias Lilja'],['7tOyGdC9yAlKjbGHGInb1g'],07QVX0GC9lgKBhhl212Qdm
The Question,['Cullen Waller'],['1q5Nczup0WnMsnnhRxJ4BX'],07SaUURZhay2n0SIGVVFtu
JISTAR DOG TRIPLE J SALUTE,['TEMM DOGG'],['786rni6d0i1Oc9HdWHjnMs'],07SlmFIY68Cu8JnyJLdrfA
"Etude de concert, Op. 193","['Felix Godefroid', 'Maria-Theresa Freibott']","['1Qtna8v0vWJLmT3MSF0IvO', '2qac3BLXsOyKUNWbdeivcG']",07WL2U2y45rkNGbdwh0Xun
Bota Na Ninfeta,"['MC BN', 'DJ NpcSize', 'Mc Rd']","['1JYiyu6QtmtwjdFz3TEFTe', '00B9mff8749d1A2LOLH41b', '6ugw7JCu0AG7txRcRAxU8d']",07XW4JHWFVfHqIKCBxRggD
The Sacred And The Profane,['Paul Leonard-Morgan'],['0360rTDeUjEyBXaz2Ki00a'],07fIK1aunwUy0iP9U0HwOL
WHERES ADRIAN,['Havoc in the Hood'],['3pfBfnK2MOuYK8JgNM4fwB'],07pKCBbOKzyATqQLJliatB
Quiet Days on Earth,"['Atrium Carceri', 'Cities Last Broadcast', 'God Body Disconnect']","['6UIsHrMMddC9hmkwI4J3Jr', '4TiCdaMLVAz0W8GqeZ6jN4', '4dunxeaOrxAaFUtdxIHtBO']",07wABQoR1aAIgrvFWMTm68
Ven Toma,['Makaco el Cerebro'],['12DPlIOb9roEIgp5LqkJfH'],07wsICDDgcbPJIxtWKrhlk
"Gregorian Chant: Hymn to St. John the Baptist ""Ut queant laxis""","['Gregorian Chant', 'Westminster Cathedral Choir', 'Stephen Cleobury']","['0Hu0feSkb1IIG0PbZ5P2s9', '38Nm4oWjJBIVCkD8u5BHdw', '0ugRf6ECGBFRCHlv9iG1No']",07yGmMopFvtP4HdTCBrJss
Meri Jaan,['Neeti Mohan'],['3ZxZ03fj3tXBZHZWzvaLSM'],080Snoc5O7MuKyu5TkH4TD
Sets Go Up (feat. Wacko),"['JUVENILE', 'Wacko']","['0rG0AZBscc8S8q1ahIsasI', '7q7Zj9vHixEijgs5qbP8qX']",083NbPKjyzaXqtpTR8soAK
